total_accuracy,f1_gasp,recall_gasp,clf_label,total_samples,positives,negatives,nearMiss_ratio,nearMiss_samples,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.719107434640523,0.718664496623088,0.7296874999999999,gasp,104,52,52,20,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.7324346405228759,0.7247082048302349,0.7314236111111112,gasp,104,52,52,20,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.6922385620915033,0.7079947020214048,0.7607638888888888,gasp,104,52,52,20,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5458946078431373,0.5565621697143436,0.8,gasp,104,52,52,20,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8052083333333333,0.8009262811062346,0.7951388888888888,gasp,104,52,52,20,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.6800040849673203,0.6789675852631836,0.6923611111111111,gasp,104,52,52,20,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.6746834150326797,0.6451559709425422,0.6154513888888888,gasp,104,52,52,20,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.7187653186274509,0.7393451696866944,0.7956597222222221,gasp,104,52,52,20,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.717422385620915,0.7102593393663441,0.7107638888888889,gasp,104,52,52,20,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.7820823120915033,0.7764206094043555,0.7769097222222222,gasp,104,52,52,20,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.853094362745098,0.8646686080732134,0.9215277777777778,gasp,104,52,52,40,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.6793555964052287,0.6729573389287011,0.6703125,gasp,104,52,52,40,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.7584201388888889,0.7579665944865248,0.7631944444444444,gasp,104,52,52,40,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.7325520833333333,0.7395367921122564,0.7718750000000001,gasp,104,52,52,40,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5165083741830065,0.3396146131709633,0.4984375,gasp,104,52,52,40,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.7893892973856209,0.789306299780371,0.8005208333333332,gasp,104,52,52,40,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.6712571486928105,0.6672949170927112,0.6696180555555555,gasp,104,52,52,40,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.702874795751634,0.669285991249033,0.6303819444444445,gasp,104,52,52,40,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.7229626225490196,0.7398283940095591,0.7940972222222222,gasp,104,52,52,40,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.6962571486928104,0.6879929978217517,0.6909722222222222,gasp,104,52,52,40,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.7827410130718954,0.7847563107257379,0.7961805555555556,gasp,104,52,52,40,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.8380923202614379,0.8515775470874156,0.9164930555555556,gasp,104,52,52,60,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.6756229575163398,0.666898479809664,0.6748263888888889,gasp,104,52,52,60,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.761626838235294,0.7587299980721033,0.7628472222222222,gasp,104,52,52,60,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.750500408496732,0.7477622801819783,0.7536458333333333,gasp,104,52,52,60,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5418453839869282,0.5542719725926247,0.8,gasp,104,52,52,60,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8085069444444444,0.8105824741797366,0.8246527777777779,gasp,104,52,52,60,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.7242238562091504,0.721483595631235,0.7289930555555556,gasp,104,52,52,60,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.6874438316993465,0.6495523337386728,0.6097222222222223,gasp,104,52,52,60,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.7290696486928104,0.7485957435900649,0.8097222222222222,gasp,104,52,52,60,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.7532781862745097,0.7484704948259514,0.7496527777777778,gasp,104,52,52,60,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.8031913807189544,0.802522598445586,0.80625,gasp,104,52,52,60,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
